epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
63,0.8434196,0.1351476,0.20261942,0.1317299,1280.0,-5.248401,0.7,2560.0,0.425
64,0.84336036,0.1350615,0.20262058,0.13181773,1300.0,-3.6926217,0.95,2600.0,0.5
65,0.84357065,0.13466397,0.20258823,0.13165513,1320.0,-2.3352213,0.9,2640.0,0.525
66,0.84371334,0.13434952,0.2026037,0.13139138,1340.0,-2.8804846,0.85,2680.0,0.7
67,0.84393454,0.1338775,0.20252727,0.13112755,1360.0,-5.9092245,0.85,2720.0,0.55
68,0.8439829,0.13361381,0.20249736,0.13088055,1380.0,-4.3553324,0.8,2760.0,0.65
69,0.8440384,0.13322695,0.20264477,0.13065279,1400.0,-2.365683,1.0,2800.0,0.675
70,0.84438634,0.13328886,0.20266776,0.13079983,1420.0,-2.1434102,0.9,2840.0,0.375
71,0.8446477,0.1334058,0.20272386,0.13078356,1440.0,-3.3028474,0.85,2880.0,0.475
72,0.8449587,0.13345507,0.20275123,0.13074696,1460.0,-2.3450527,0.8,2920.0,0.5
73,0.8452177,0.13385846,0.20277311,0.13086261,1480.0,-2.5408847,0.7,2960.0,0.575
74,0.84536976,0.13362415,0.20279673,0.13086216,1500.0,-2.4752028,0.95,3000.0,0.575
75,0.8456084,0.1334957,0.2028256,0.13096848,1520.0,-1.9561104,0.95,3040.0,0.5
76,0.84586924,0.13305442,0.20280293,0.13068558,1540.0,-1.8361372,1.0,3080.0,0.575
77,0.8463018,0.13302247,0.20281261,0.13068825,1560.0,-4.1150117,0.75,3120.0,0.525
78,0.84646493,0.13307162,0.20271336,0.13076961,1580.0,-3.5952034,0.8,3160.0,0.525
79,0.8465654,0.13290764,0.20270404,0.13055855,1600.0,-2.3965425,0.85,3200.0,0.6
80,0.84673184,0.13267557,0.20275347,0.13071989,1620.0,-2.2555573,0.8,3240.0,0.525
81,0.8469193,0.13250545,0.20288837,0.13043498,1640.0,-1.9705689,0.9,3280.0,0.675
82,0.8469343,0.13211279,0.20290478,0.13022383,1660.0,-3.005525,1.0,3320.0,0.625
