epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
30,0.8626852,0.07304948,0.19606894,0.046576794,0.8449529,0.074386664,0.21721013,0.12888524,0.8425427,0.13800877,0.2724288,0.15353993,620.0,-0.9288756159543989,1.0,3100.0,0.34
31,0.8627358,0.072817035,0.19611457,0.046368904,0.84504336,0.07437544,0.21699889,0.12820189,0.84313035,0.13760334,0.27251828,0.15333168,640.0,-1.5407587643265725,0.95,3200.0,0.4
32,0.86262894,0.07253286,0.19611742,0.046252176,0.84497994,0.07431866,0.21699724,0.12824525,0.84303886,0.13783367,0.27258986,0.15342614,660.0,-0.893703518897295,0.95,3300.0,0.38
33,0.86249393,0.07234206,0.19611709,0.04603628,0.8449542,0.074266545,0.2168699,0.12772173,0.84336907,0.13720071,0.27266872,0.1529431,680.0,-0.5827529349029064,1.0,3400.0,0.51
34,0.86244035,0.07213681,0.19614722,0.045813534,0.8449848,0.07422999,0.21663012,0.12719627,0.8433523,0.1367895,0.27262998,0.15251462,700.0,-0.6371083886921406,1.0,3500.0,0.43
35,0.86231583,0.07192129,0.19613633,0.045681536,0.8450323,0.074170135,0.21669509,0.1267921,0.84329766,0.1366244,0.27259916,0.15278688,720.0,-0.463211935132742,1.0,3600.0,0.46
36,0.8620967,0.07175378,0.19610618,0.045461155,0.8448062,0.07418239,0.21655637,0.12641886,0.843497,0.13656773,0.2725808,0.15281777,740.0,-0.8415673527419567,0.95,3700.0,0.4
37,0.8620749,0.07155665,0.19613737,0.045221288,0.84485155,0.07414731,0.21660283,0.12628147,0.84383804,0.13630407,0.2724853,0.1525662,760.0,-2.1632655647695063,0.95,3800.0,0.4
38,0.8620448,0.07134606,0.19614698,0.045094766,0.84487444,0.07410563,0.21660024,0.1256812,0.8442416,0.13576521,0.27252692,0.15230793,780.0,-0.6099359116852283,1.0,3900.0,0.37
39,0.8618296,0.07117433,0.19613035,0.045080446,0.8449003,0.074057944,0.2169808,0.12597111,0.84413975,0.13585764,0.27262616,0.15221603,800.0,-0.68609812566638,1.0,4000.0,0.43
