epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
63,0.848387,0.12966225,0.20568468,0.12834184,1280.0,-4.8932323,0.7,2560.0,0.45
64,0.8485954,0.12995297,0.20572662,0.1286712,1300.0,-5.799993,0.75,2600.0,0.475
65,0.84862614,0.12989004,0.20574851,0.12876087,1320.0,-5.420301,0.7,2640.0,0.5
66,0.8488316,0.12977983,0.20573246,0.12891525,1340.0,-4.8695765,0.8,2680.0,0.4
67,0.84899074,0.12963116,0.20580357,0.12871502,1360.0,-7.0105515,0.65,2720.0,0.45
68,0.84893566,0.13019125,0.20586479,0.12908685,1380.0,-3.5621598,0.75,2760.0,0.425
69,0.8488641,0.13027757,0.20584741,0.1294545,1400.0,-5.027827,0.75,2800.0,0.5
70,0.849102,0.1302454,0.20589316,0.12924284,1420.0,-2.8072662,0.9,2840.0,0.625
71,0.8491454,0.13032423,0.2058526,0.12944056,1440.0,-2.882039,0.9,2880.0,0.425
72,0.849309,0.13043967,0.20596097,0.12959176,1460.0,-2.4026647,0.85,2920.0,0.5
73,0.84940606,0.13029669,0.20584571,0.12957986,1480.0,-8.026197,0.55,2960.0,0.6
74,0.8495202,0.13003512,0.20576912,0.1296131,1500.0,-3.8716342,0.8,3000.0,0.55
75,0.849483,0.12993786,0.2057448,0.129628,1520.0,-5.2269692,0.8,3040.0,0.55
76,0.8495767,0.1298527,0.20572893,0.12966923,1540.0,-3.1567452,0.85,3080.0,0.425
77,0.84950465,0.129786,0.20576034,0.12968297,1560.0,-2.6546006,0.95,3120.0,0.475
78,0.84955955,0.12986694,0.20577075,0.12962584,1580.0,-5.858251,0.65,3160.0,0.575
79,0.84979063,0.12964594,0.20579581,0.1295665,1600.0,-6.014449,0.6,3200.0,0.5
80,0.84981585,0.12952995,0.20590845,0.1297385,1620.0,-4.0104,0.85,3240.0,0.525
81,0.850033,0.12942797,0.20604748,0.12975927,1640.0,-5.0599985,0.7,3280.0,0.5
82,0.8501186,0.12944892,0.20619786,0.12993331,1660.0,-3.9515107,0.75,3320.0,0.55
83,0.8500996,0.12918828,0.20614763,0.12965924,1680.0,-2.6223722,0.8,3360.0,0.625
84,0.8504488,0.1291169,0.20618168,0.1296804,1700.0,-3.9040153,0.9,3400.0,0.525
85,0.85062367,0.12905623,0.2063377,0.129527,1720.0,-4.2136054,0.55,3440.0,0.65
86,0.85067874,0.12895606,0.20643267,0.12938973,1740.0,-4.2923217,0.9,3480.0,0.475
87,0.85068744,0.12869398,0.20644176,0.1292106,1760.0,-2.382211,0.85,3520.0,0.75
88,0.8507609,0.12859316,0.20650299,0.12901753,1780.0,-1.9205511,0.85,3560.0,0.675
89,0.85093457,0.12833405,0.20657374,0.12870106,1800.0,-2.209194,0.9,3600.0,0.725
90,0.85093874,0.12820661,0.20651752,0.12859038,1820.0,-4.873778,0.8,3640.0,0.625
91,0.8509519,0.12804778,0.20650156,0.12832472,1840.0,-2.3094063,0.9,3680.0,0.7
92,0.8510785,0.12790489,0.20650034,0.12814687,1860.0,-2.6197846,0.9,3720.0,0.5
93,0.8510449,0.12771152,0.20648193,0.12800668,1880.0,-3.6558833,0.9,3760.0,0.55
94,0.8510352,0.12764905,0.20644107,0.12791377,1900.0,-2.7161813,0.8,3800.0,0.75
95,0.85119456,0.12748809,0.20651253,0.12773032,1920.0,-2.712326,0.9,3840.0,0.6
96,0.85126907,0.12743838,0.20652838,0.12774363,1940.0,-1.6374083,0.9,3880.0,0.55
97,0.8514604,0.12736185,0.20654938,0.12764686,1960.0,-1.5356965,0.95,3920.0,0.5
98,0.8515868,0.12708552,0.20656307,0.12742752,1980.0,-4.5724034,0.65,3960.0,0.675
99,0.8517476,0.1270733,0.206656,0.12730497,2000.0,-1.8475859,1.0,4000.0,0.65
