epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.87626076,0.10058763,0.20369282,0.09064667,20.0,-2.5416694,0.0,100.0,0.0
1,0.8555975,0.113778986,0.22529005,0.13996796,40.0,-2.752874,0.2,200.0,0.05
2,0.8515029,0.10911089,0.23255536,0.14639784,60.0,-2.921031,0.55,300.0,0.03
3,0.8505268,0.1091699,0.23824874,0.1467638,80.0,-3.7986817,0.15,400.0,0.13
4,0.8474538,0.10693415,0.24188855,0.14721774,100.0,-3.7689133,0.55,500.0,0.1
5,0.8463914,0.10919013,0.24451262,0.14898193,120.0,-4.849883,0.45,600.0,0.12
6,0.8457878,0.111777686,0.24668473,0.15282828,140.0,-4.831292,0.55,700.0,0.16
7,0.84632367,0.114006914,0.24748287,0.15508655,160.0,-3.4132233,0.9,800.0,0.15
8,0.8459181,0.11623361,0.2488238,0.15830265,180.0,-4.4731565,0.7,900.0,0.24
9,0.845356,0.11699087,0.2497247,0.15863866,200.0,-5.1628075,0.5,1000.0,0.25
10,0.84635097,0.11798454,0.25084054,0.15901884,220.0,-2.1161551,0.9,1100.0,0.28
11,0.8464485,0.11875677,0.25172296,0.15909168,240.0,-3.0756056,0.95,1200.0,0.29
12,0.845757,0.122230016,0.2515098,0.16089112,260.0,-1.3885695,1.0,1300.0,0.23
13,0.8449543,0.12174802,0.25217927,0.16034028,280.0,-2.3195996,0.8,1400.0,0.46
14,0.84493303,0.12252903,0.25238565,0.16056134,300.0,-3.3858528,0.95,1500.0,0.36
15,0.8453061,0.12272223,0.25299564,0.16056272,320.0,-1.8996223,0.95,1600.0,0.35
16,0.8451026,0.12459606,0.2533894,0.16147563,340.0,-2.0107734,0.9,1700.0,0.33
17,0.845321,0.12584592,0.25363776,0.16206037,360.0,-2.3242526,0.95,1800.0,0.27
18,0.8453846,0.12596104,0.25398514,0.16193035,380.0,-1.1493059,1.0,1900.0,0.42
19,0.8452297,0.12597163,0.25409386,0.16171199,400.0,-2.0474772,0.85,2000.0,0.37
20,0.84538215,0.12537667,0.25482154,0.1612307,420.0,-2.028823,1.0,2100.0,0.33
21,0.84597236,0.12589057,0.2550431,0.16145301,440.0,-0.89815485,1.0,2200.0,0.4
22,0.84631664,0.12610437,0.25528,0.16115905,460.0,-1.1912723,1.0,2300.0,0.37
23,0.84672374,0.12573718,0.2554052,0.16043337,480.0,-0.6440102,0.95,2400.0,0.47
24,0.8467328,0.12515046,0.25552252,0.15981014,500.0,-0.94852006,1.0,2500.0,0.42
25,0.8463748,0.12516314,0.25544614,0.1595681,520.0,-0.4096528,1.0,2600.0,0.37
26,0.8461829,0.12544338,0.2556542,0.15961091,540.0,-0.92480546,0.8,2700.0,0.43
27,0.84647435,0.12478938,0.25595245,0.15909958,560.0,-0.49755543,1.0,2800.0,0.45
28,0.8466738,0.12443537,0.25624472,0.1588121,580.0,-0.5600337,1.0,2900.0,0.43
29,0.846647,0.12413811,0.25644037,0.15875348,600.0,-0.7279959,1.0,3000.0,0.4
30,0.8469123,0.12393212,0.25675502,0.15808746,620.0,-0.5730341,1.0,3100.0,0.41
31,0.84702545,0.12395554,0.256958,0.15791614,640.0,-0.7457656,1.0,3200.0,0.38
32,0.8471112,0.12325815,0.25702402,0.15744051,660.0,-0.6330825,1.0,3300.0,0.52
33,0.84735775,0.12304175,0.2571621,0.15716971,680.0,-0.6112027,0.95,3400.0,0.42
34,0.84743816,0.122630246,0.25724298,0.15706676,700.0,-0.721562,0.95,3500.0,0.43
35,0.84773946,0.122581184,0.25731593,0.15719117,720.0,-0.41204864,1.0,3600.0,0.44
36,0.84781915,0.12250004,0.2573685,0.1573148,740.0,-0.63996994,1.0,3700.0,0.41
37,0.8480322,0.1221723,0.25745517,0.15725748,760.0,-0.60723597,1.0,3800.0,0.39
38,0.84822124,0.122512124,0.25759608,0.15723461,780.0,-0.95725536,0.95,3900.0,0.44
39,0.8482507,0.12243056,0.25770375,0.15735841,800.0,-0.63910496,0.9,4000.0,0.43
