epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
31,0.8561031,0.07352445,0.20317492,0.04773089,0.85009366,0.0845888,0.20289522,0.06680427,0.8388539,0.14112288,0.20352961,0.13094887,320.0,-8.647323,0.3,640.0,0.0
32,0.85611874,0.07308077,0.20318924,0.047879208,0.8500252,0.08405314,0.20282575,0.066573046,0.83858365,0.14200805,0.20355517,0.13188787,330.0,-4.891535,0.7,660.0,0.05
33,0.8562774,0.072804034,0.20332046,0.048237935,0.85020655,0.08382374,0.20284966,0.06614032,0.83899945,0.14223807,0.20378432,0.13302802,340.0,-8.11051,0.4,680.0,0.05
34,0.8563811,0.07243971,0.20338488,0.048136014,0.8503127,0.08351919,0.20297852,0.065889195,0.8384966,0.14360882,0.2040378,0.13457511,350.0,-5.9795213,0.5,700.0,0.05
35,0.85647154,0.07217094,0.20337458,0.047875077,0.85036594,0.08319405,0.20297706,0.06583454,0.8378057,0.14493942,0.20415837,0.13466322,360.0,-6.311104,0.3,720.0,0.05
36,0.8566455,0.07198107,0.2034271,0.047629725,0.85070497,0.08313399,0.2030445,0.066452086,0.83758646,0.14580818,0.20411138,0.13597463,370.0,-5.763877,0.7,740.0,0.0
37,0.8564918,0.07181402,0.20336589,0.04740155,0.8504579,0.08294076,0.20297757,0.066002026,0.8371615,0.1460345,0.204003,0.13706604,380.0,-7.414636,0.4,760.0,0.0
38,0.85637283,0.07151096,0.2032953,0.047137707,0.8503322,0.08280141,0.20279755,0.066056296,0.8368097,0.14698662,0.2040526,0.13792104,390.0,-9.6620865,0.4,780.0,0.05
39,0.8565328,0.07125828,0.20336017,0.04691076,0.85062385,0.08287076,0.20296212,0.06774869,0.8370692,0.14785218,0.20409523,0.13913092,400.0,-9.211993,0.5,800.0,0.1
40,0.8563771,0.07092186,0.2033139,0.046649743,0.8505054,0.08257649,0.20281641,0.06837687,0.836925,0.14743833,0.20458546,0.13977243,410.0,-5.2151327,0.6,820.0,0.05
41,0.8564399,0.07067867,0.20332329,0.046399575,0.8505117,0.08228821,0.20281759,0.07006988,0.83707494,0.1472754,0.20468323,0.14033146,420.0,-10.000799,0.4,840.0,0.05
42,0.85638404,0.07045234,0.20333056,0.046212096,0.85061526,0.08205963,0.20286994,0.07027995,0.8363278,0.14898296,0.20411533,0.14119345,430.0,-4.184474,0.7,860.0,0.05
43,0.856591,0.07027206,0.20336923,0.046025634,0.8507963,0.08194253,0.20289497,0.070173234,0.836616,0.14895655,0.20388761,0.14194717,440.0,-9.3162,0.3,880.0,0.1
44,0.85647684,0.07004324,0.20332089,0.046021644,0.8506191,0.081635274,0.20288064,0.069877595,0.83651763,0.14894222,0.20399821,0.14227198,450.0,-9.091036,0.3,900.0,0.1
45,0.8564748,0.06985458,0.20326515,0.045793105,0.8505624,0.081543945,0.20279944,0.06985577,0.8364949,0.14894648,0.20375894,0.14238161,460.0,-11.3269615,0.3,920.0,0.1
