epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84229,0.09993464,0.20611411,0.09293254,20.0,-1.8273804,0.3,100.0,0.02
1,0.84066683,0.116203226,0.22755241,0.13748822,40.0,-3.154318,0.0,200.0,0.04
2,0.8405583,0.120502286,0.23632422,0.15087341,60.0,-4.277183,0.1,300.0,0.04
3,0.84032345,0.11905853,0.24116991,0.15239477,80.0,-4.492724,0.35,400.0,0.08
4,0.8402299,0.11769185,0.24391754,0.15206377,100.0,-3.5629413,0.55,500.0,0.15
5,0.84112936,0.1167489,0.24697073,0.15230145,120.0,-3.976293,0.5,600.0,0.14
6,0.8408938,0.11882029,0.2481815,0.15324832,140.0,-4.598216,0.35,700.0,0.13
7,0.8412822,0.11937366,0.24928442,0.15438524,160.0,-3.957873,0.6,800.0,0.14
8,0.84079045,0.12026612,0.25057083,0.15460509,180.0,-4.788727,0.7,900.0,0.18
9,0.84061867,0.119264625,0.251104,0.1556321,200.0,-4.136712,0.8,1000.0,0.16
10,0.84018755,0.11886183,0.25149655,0.1552577,220.0,-2.4593716,0.75,1100.0,0.17
11,0.8406942,0.118709385,0.252559,0.15449317,240.0,-2.006504,0.85,1200.0,0.25
12,0.841335,0.11865505,0.25275898,0.15435402,260.0,-2.5586765,0.9,1300.0,0.3
13,0.8410036,0.11979105,0.25319114,0.15469256,280.0,-3.8215988,0.75,1400.0,0.33
14,0.84055,0.12000034,0.25339413,0.15490864,300.0,-1.754624,0.95,1500.0,0.3
15,0.8400671,0.12131602,0.2536094,0.15546766,320.0,-1.9633777,0.95,1600.0,0.36
16,0.84042805,0.120754115,0.2538889,0.15514585,340.0,-1.4806626,0.95,1700.0,0.39
17,0.84044784,0.121061035,0.25408533,0.1545313,360.0,-1.0008546,1.0,1800.0,0.37
18,0.84118706,0.1209132,0.25430164,0.15489496,380.0,-1.3860333,0.9,1900.0,0.4
19,0.84215426,0.1206305,0.2545918,0.15458821,400.0,-1.1232955,0.9,2000.0,0.44
20,0.8422881,0.120443046,0.2547583,0.15446006,420.0,-0.878737,0.9,2100.0,0.42
21,0.8429783,0.12022092,0.25514024,0.15386017,440.0,-0.93416774,0.9,2200.0,0.48
22,0.8435178,0.12010888,0.25532568,0.15345941,460.0,-0.91718024,0.8,2300.0,0.53
23,0.8441856,0.11991116,0.25566295,0.15309918,480.0,-0.6667714,0.9,2400.0,0.38
24,0.84455687,0.11972299,0.2555713,0.15320015,500.0,-0.54903543,0.95,2500.0,0.37
25,0.8446424,0.11948588,0.25558007,0.15331778,520.0,-0.41308117,1.0,2600.0,0.4
26,0.84484607,0.11971917,0.25553417,0.1531579,540.0,-0.41059107,1.0,2700.0,0.44
27,0.84497994,0.11944151,0.25564852,0.15282346,560.0,-0.6281816,1.0,2800.0,0.37
28,0.8450248,0.11934158,0.2556033,0.15252116,580.0,-0.6186255,0.95,2900.0,0.52
29,0.8451298,0.11883833,0.25578716,0.15229005,600.0,-0.8408185,0.95,3000.0,0.5
30,0.8453085,0.11878422,0.25593802,0.15232725,620.0,-1.0642235,0.85,3100.0,0.38
31,0.84552544,0.118911095,0.25608817,0.15225273,640.0,-0.5639207,0.95,3200.0,0.46
32,0.84554595,0.118985,0.25604478,0.15195689,660.0,-0.61460376,0.95,3300.0,0.51
33,0.8457796,0.118777566,0.2562153,0.15156947,680.0,-0.47773165,1.0,3400.0,0.49
34,0.8457739,0.11903205,0.2562227,0.1519129,700.0,-0.41621113,1.0,3500.0,0.43
35,0.8458414,0.11909696,0.25618118,0.15176438,720.0,-0.6620349,0.95,3600.0,0.45
36,0.8459919,0.11899596,0.25620455,0.1515901,740.0,-0.50015754,0.95,3700.0,0.44
37,0.84632236,0.11872149,0.25636193,0.15108202,760.0,-0.52535206,1.0,3800.0,0.48
38,0.84629065,0.11892738,0.25639784,0.15114917,780.0,-0.57259905,0.95,3900.0,0.54
39,0.8461645,0.11861843,0.25648868,0.15093999,800.0,-0.6181626,0.95,4000.0,0.44
